item_name,item_id,item_category_id
奥凯华科,2484,55
澳凯灵,2483,58
奥康,1151,75
奥克,2482,58
澳科,1150,76
奥克拉,2481,56
澳柯玛,2480,55
奥可视,1148,58
奥克斯,2479,55
奥莱健,1147,58
奥莱克,2478,56
澳莱斯宝,1146,55
傲丽,2477,55
奥利,1145,58
奥力,2476,56
奥里奥,1144,59
奥利佛,2475,55
澳力健,858,78
奥力龙,1165,75
奥利妮,1164,75
澳丽特,2494,55
奥丽薇,2493,60
奥丽依,1161,75
奥力原,2492,58
澳联,2491,56
奥林,11550,75
奥露娜,2490,58
奥罗拉,1158,75
奥罗拉笔,2489,55
奥玛,2487,58
奥迈,1155,75
奥麦,2486,56
奥迈特,1176,75
澳美多,11544,75
奥美嘉,9854,40
澳门香记,1168,75
傲米子,1167,75
奥妙,1166,75
澳能,13880,55
奥尼,12550,55
奥普,13881,55
奥奇,1187,75
奥奇丽,1185,75
奥琪利,1180,75
傲锐,13354,82
奥瑞金,11229,40
澳瑞特,11228,40
傲森,12559,55
奥森,9233,43
奥莎,15178,72
傲胜,1178,75
傲仕,11221,40
奥士达,12553,60
奥斯卡,13884,59
奥斯克,9768,40
奥斯曼,11220,40
奥思鸟,12554,55
澳思鸟,13885,55
奥素卡,11223,37
澳坦斯,12551,55
奥特朗,13882,59
奥特曼,11222,38
奥汀漫,12552,55
澳图凯尔,13883,55
奥图码,11225,37
奥拓,12557,55
澳维加,13888,55
澳西奴,11224,40
奥翔,12558,55
翱翔者,13889,55
澳雪,11227,37
澳洋,12555,55
奥医,13886,55
澳优,11226,40
澳远,12556,55
澳芝妙,13887,58
澳尊,1190,75
芭芭,12560,55
吧吧香,13891,59
巴宝莉,13892,59
八宝粥,11230,40
巴贝,13890,55
八杯水,1198,55
芭比,1197,55
巴比禄,1196,55
巴比纳,1195,55
巴比娃娃,1194,55
巴布豆,11239,40
八重洲,11232,37
霸道,12564,55
巴登魔瓶,13895,55
芭蒂娜,11231,40
巴迪斯,12565,41
八哥,13896,55
巴固,11234,37
八角亭,12562,60
巴卡拉,13893,55
巴可,11233,40
巴口香,12563,55
巴利,13894,55
八马,11236,40
芭莎时尚,12568,40
巴斯克林,13899,59
霸王,11235,40
八喜,12569,37
八仙茶,11238,40
八益,12566,40
八音盒,13897,55
百艾,11237,40
百爱特,12567,40
拜安,13898,55
百安居,11207,40
百宝力,12539,55
百宝世,11206,37
佰草集,12537,55
白茶,13868,55
百诚,11208,37
百春,12538,60
柏翠,13869,55
柏达,1199,55
百达翡丽,12531,55
白大夫,13862,40
百代适,12532,55
百得,13863,37
百得胜,11201,40
白蝶,13860,37
拜尔,11200,40
拜耳,12530,55
柏纷,13861,40
百分百,11203,40
百合,12535,55
百花,13866,58
百佳,11202,40
百嘉,12536,55
百加得,13867,55
百家坊,11205,40
百家好,13864,40
白加黑,11204,37
白敬宇,12534,55
白兰,13865,58
白兰地,13870,55
百乐,11218,40
佰俐,11217,37
佰利,12548,55
百丽,13879,59
百利,11219,37
百利安,12549,55
拜丽德,11210,55
百利金,12542,55
百利乐,13873,37
柏丽莲,12543,55
白丽人,13874,40
佰立特,11212,40
百利威,12540,55
百力滋,13871,40
白莲,11211,55
白灵,12541,55
百龄,13872,37
百灵达,11214,40
百灵鸟,12546,55
百龄坛,13877,55
百灵通,11213,37
柏鹭,12547,55
百露,13878,55
百路通,11216,40
百伦,12544,55
佰伦世家,13875,41
白猫,11215,40
百年灵,12545,55
白鸟花子,13876,55
百诺,6408,24
百诺肯,12517,55
白蒲,13848,40
百奇,12518,55
百强,13849,41
百色,12515,55
白沙,13846,40
白砂绿茶,12516,55
白砂糖,13847,38
百圣牛,12519,57
柏氏,13840,37
百世,12510,55
百事,13841,41
百诗黛,12513,55
百仕盾,13844,40
百世吉,12514,55
百事可乐,13845,37
佰事扣,12511,55
百事灵,13842,40
佰式蜻蜓,19559,37
百事爽,12512,55
百仕通,13843,40
百寿坊,12528,55
百斯,13859,40
百斯盾,12529,55
百思寒,12526,55
百思图,12527,55
百泰,13858,40
拜泰姆,12520,55
拜廷家纺,13851,40
百图,12521,55
百旺,13852,38
佰威,13850,37
百威,12524,55
百味佳,13855,37
百维滋,12525,55
百武西,13856,40
白象,12522,55
百信,13853,37
百星,12523,55
百姓罗衣,13854,41
百秀,13826,37
白雪,13827,40
拜亚动力,13824,40
百叶窗,13825,38
百一,13828,40
百艺坊,13829,40
百易特,13822,40
佰钰,13823,40
白玉兰,13820,38
白云,13821,37
百兆,12506,55
柏芝兰,13837,40
伴伴家,12507,55
板卡,13838,37
斑马,12504,55
斑马笔,13835,40
班尼路,12505,55
半球,13836,37
阪神,12508,60
板式家具,13839,40
板鞋,12509,55
棒棒糖,13830,37
棒棒娃,12502,55
帮宝适,13833,37
邦比乐儿,12503,55
邦博,13834,40
邦博仕,12500,55
邦德,13831,40
邦迪,12501,55
邦华,13832,40
邦杰,11180,40
邦洁,11182,40
邦君,11181,40
邦美特,11184,55
邦派五金,11183,40
邦士顿,11186,37
邦阳,11185,55
葆葆,11188,40
保宝宝,11187,40
宝宝好,11189,37
宝宝金水,10,40
宝宝乐,11,40
宝宝鱼,11191,40
宝贝,12,55
宝贝蛋,11190,40
宝贝巨星,13,40
宝贝龙,11193,40
葆苾康,14,40
宝比珊,15,40
葆春,11195,41
宝岛,16,40
宝德,11194,40
宝得利,17,40
宝迪沃,11197,40
宝鼎,18,40
宝恩,11196,38
宝儿杰,19,40
宝尔玛,11900,40
宝尔马,11199,40
宝尔通,11198,40
宝菲,20,40
宝钢,21,40
宝高,13384,49
宝格丽,22,40
保谷,12490,55
包黑炭,23,40
宝玑,12491,55
宝嘉丽,15834,37
宝嘉莉,24,40
宝健,11160,37
宝洁,25,40
宝捷讯,26,40
保康,11162,40
宝克,12494,40
宝克笔,11161,38
宝矿力,12495,40
宝来,11164,37
宝莱,12492,59
宝兰,11163,37
宝乐滋,12493,40
保丽,11166,37
宝丽,12498,55
宝利,11165,40
宝丽捷,12499,55
葆丽美,11168,40
保灵,12496,40
保灵牌,11167,40
暴龙,12497,57
宝龙霸道,30,40
宝路,11169,40
保罗,31,37
宝马,32,40
宝缦,33,37
宝明,34,40
宝娜斯,35,40
保宁,11171,40
保暖内衣,36,37
宝鹏,11170,37
保日达,37,40
宝柔,11173,40
宝瑞雅,38,41
保圣,11172,40
宝胜,39,41
宝生园,11175,40
宝仕,11174,38
宝狮,5665,3
宝石,11177,40
保时捷,11176,37
堡狮龙,11179,37
宝诗龙,11178,40
保视宁,13370,49
保湿霜,40,57
宝顺,41,57
宝硕,42,57
宝素力,43,40
保特佑,44,57
豹王,45,57
保温杯,46,57
报喜鸟,47,57
保险柜,48,57
保鲜柜,11140,40
保鲜盒,12472,55
保鲜膜,49,57
宝星,12473,55
宝益身,11142,40
葆婴,12470,58
宝优妮,11141,40
宝育堂,12471,58
宝姿,11144,40
倍爱,12476,58
蓓宝,11143,40
贝贝安,12477,55
贝贝佳,11146,40
贝贝利安,12474,58
贝倍舒,50,57
贝贝鸭,11145,40
贝贝羊,12475,55
贝比卡儿,51,57
贝比卡尔,11148,40
北大方正,52,57
北大荒,11147,41
北岛,53,57
贝得罗,12478,58
贝德玛,54,57
贝蒂,11149,40
贝帝宝贝,12479,58
贝蒂儿,55,43
贝迪斯,56,57
北斗星,12480,40
贝恩宝,57,57
倍恩力,59,57
贝尔,11151,40
贝尔丰,12483,55
贝尔金,16030,65
倍尔静,11150,40
倍尔乐,12484,55
贝尔舒,11153,40
贝尔斯,12481,40
贝儿欣,11152,40
贝发,12482,55
北峰,18831,40
北峰电料,11155,40
贝哈比,12487,55
蓓护,11154,40
贝花,12488,58
北寰家居,60,43
北极狐,11157,55
贝吉獾,12485,55
北极绒,61,43
北极星,11156,40
倍佳美,12486,58
贝佳人,62,37
贝佳斯,11159,40
倍健,63,40
贝洁,11158,40
北京京精,64,40
北京现代,12489,58
北京源德,65,37
倍康,66,37
北康,67,40
北康腐乳,69,54
背靠背,12450,37
贝克,13781,40
贝克斯,12451,40
贝可羊,13782,40
贝拉维拉,11120,40
贝朗,13780,40
贝乐堡,11129,40
贝蕾尔,11122,40
蓓丽,12454,40
贝丽,13785,37
贝利可,70,49
倍力乐,11121,37
贝亮家纺,12455,37
贝罗,13786,40
北美枫情,71,37
杯面,11124,55
贝纳通,12452,37
倍诺康,13783,40
贝亲,72,40
贝柔,11123,55
贝瑞佳,12453,40
北山家居,13784,40
倍舒特,73,40
焙思奇,11126,40
贝思特,12458,40
贝斯特,13789,55
北泰,74,37
贝特爱思,11125,37
贝特令,12459,37
北天鹅,75,40
北通,11128,37
贝彤,12456,40
背投电视,13787,40
北新,76,37
贝馨梦,11127,40
贝因美,12457,40
贝玉,13788,59
贝智康,77,40
倍滋,78,40
奔奔,79,40
笨笨宝宝,12461,55
本步,13792,40
本草,12462,55
奔驰,13793,40
奔达康,11131,40
本哈根,13790,40
本间,11130,40
奔迈,12460,58
奔趣,18834,40
本色,5929,67
本山,2743,24
奔腾,80,37
本田,11133,40
比奥纯,12465,55
比巴卜,13796,37
必宝,81,40
碧宝,11132,40
比比家,12466,58
比豆,13797,55
必恩威,82,37
比而特,11135,40
避风塘,12463,55
碧海,13794,40
彼华,83,40
笔记本,11134,40
毕加索,12464,58
碧卡狄,13795,40
比卡诺,84,40
比克,11137,37
比可,12469,55
比酷,85,37
碧浪,11136,40
比乐,86,40
碧利斯,11139,40
碧丽斯顿,12467,60
碧丽雅,13798,58
碧螺春,87,37
碧欧泉,11138,40
比亲,12468,55
碧泉,13799,40
碧柔,88,40
比瑞吉,89,40
必胜客,90,40
碧生源,91,37
碧诗琳,92,37
比士尼,93,43
碧斯,94,40
必思特,95,40
必速,96,40
碧涛,97,40
比亚迪,98,40
碧岩,99,37
避孕栓,2170,56
避孕药,3803,59
壁纸,3805,55
避之宝,3806,55
便当盒,8745,40
蝙蝠,3808,55
便洁宝,3809,55
便携式,3801,55
便宜坊,3802,56
彪马,3814,55
表面,3815,58
飚王,3816,58
标致,3817,58
标准牌,3818,55
别克,3819,58
别丽,3810,55
别样红,3811,55
宾得,3812,56
宾度,3813,56
宾高,3825,55
宾利,3826,55
宾力,3827,55
宾奴,3828,55
滨松,3829,56
缤特力,3820,58
冰贝,3821,58
冰川,3822,55
冰度,3823,55
冰峰,3824,55
饼干,2504,55
冰柜,3836,23
冰花,2503,55
冰洁,18513,55
冰淇淋,3830,55
冰泉,2509,55
冰泉豆浆,3831,55
冰泉豆奶,2508,40
饼屋,3832,23
冰鑫,2507,58
波比布朗,3833,23
波波,2506,56
博大,3834,23
博大挂面,2505,55
博达通信,2515,58
波导,3847,75
波导电话,2514,59
博登,2513,58
博帝,2512,58
波顿,2511,56
波尔,2510,58
博冠,3841,23
博冠内衣,2519,58
博汇,3843,75
博汇纸业,2518,58
伯爵,3844,75
博凯,2517,55
博客,2516,58
博客军刀,2526,59
博莱登,3858,21
博兰斯勒,2525,55
伯朗,2524,55
博朗,2523,56
波力,2522,58
玻璃,2521,55
泊莉恩,2520,58
伯利玛,2529,58
玻璃贴膜,2528,55
播连衣裙,2527,55
波路梦,2540,58
波罗,1206,56
博洛尼,2537,58
波罗汽车,1205,58
泊美,2536,55
博蒙特,1204,55
博纳多,2535,58
博尼博格,1203,56
博尼尔,2534,55
玻尿酸,1202,58
播牛仔裤,2533,55
博诺凯亚,1201,55
博倩,2532,58
博柔,1200,58
博瑞娜,2531,58
博世,2530,58
博士,3865,30
波士,1209,58
博士隆,1208,58
博士伦,2539,55
博士能,1207,58
波司登,2538,55
波斯顿,3882,19
博天,1220,58
博天导航,2551,58
波通,2550,55
博文,1217,55
博文工艺,2548,58
波西米亚,13925,40
博雅世家,1216,55
博洋,2547,58
博艺陶瓷,13926,40
博源,1215,58
哺宝,2546,55
哺宝奶瓶,13923,40
哺宝奶嘴,1214,58
步步高,2545,55
不二家,13924,40
布加迪,1213,56
步进,2544,58
步进电机,13929,37
布居艺阁,1212,56
布兰妮,2543,58
布朗博士,1211,58
布鲁斯,2542,58
布伦兰妮,13927,40
布络,1210,58
步人,2541,56
布三布四,13928,40
步森,13921,37
步森西裤,13922,40
步阳,1219,59
布艺床,1218,59
布艺沙发,2549,55
步云,13920,37
不粘锅,9578,37
彩吧,3891,55
彩吧发泥,3892,58
采丹蓝,3893,58
才德,1231,58
彩虹,2562,56
采乐,1230,58
彩练,2561,56
彩练塑料,2560,59
采诗,9168,30
蔡司,17656,69
蔡司镜片,1228,58
彩特,2559,56
彩特手表,12605,40
蔡同德堂,13936,37
采轩,1227,59
彩阳,2558,59
彩叶,12606,37
彩叶纸巾,13937,37
菜园小饼,1226,59
采芝林,2557,56
采芝斋,12603,40
彩妆,13934,55
才子,1225,59
餐盒,2556,56
餐具,12604,38
灿坤,13935,40
灿凌,1224,55
蚕丝被,2555,56
苍松,12609,40
沧田,1223,59
藏羊,2554,58
藏羊地毯,1222,55
仓艺,2553,55
仓艺家居,12607,40
草本乐,13938,37
草莓半塘,1221,58
草木香,2552,58
草珊瑚,12608,40
漕溪牌,13939,40
